ra,dec,name,color,radius
186.8421,10.8663,,red,5.0
186.8423,12.0687,,red,5.0
186.8477,12.3318,,red,5.0
186.8526,13.7166,,red,5.0
186.8542,19.2635,,red,5.0
186.8561,13.7508,,red,5.0
186.8582,6.2639,,red,5.0
186.8624,5.188,,red,5.0
186.869,20.3686,,red,5.0
186.8719,7.6439,,red,5.0
186.8758,9.3409,,red,5.0
186.8834,11.6152,,red,5.0
186.8949,15.7395,,red,5.0
186.9065,14.4556,,red,5.0
186.9115,18.4346,,red,5.0
186.9197,15.945,,red,5.0
186.9218,12.3159,,red,5.0
186.9254,12.0898,,red,5.0
186.9346,11.2147,,red,5.0
186.9381,13.011,,red,5.0
186.9427,11.4352,,red,5.0
186.9785,8.0904,,red,5.0
186.981,5.721,,red,5.0
187.0018,11.95,,red,5.0
187.0085,15.4443,,red,5.0
187.0119,22.5879,,red,5.0
187.0159,2.9101,,red,5.0
187.0162,9.8037,,red,5.0
187.0205,13.612,,red,5.0
187.0207,13.5781,,red,5.0
187.0211,22.2911,,red,5.0
187.0272,12.8981,,red,5.0
187.0304,8.8151,,red,5.0
187.0359,12.0933,,red,5.0
187.0472,9.7604,,red,5.0
187.0503,10.3653,,red,5.0
187.0513,10.2976,,red,5.0
187.0535,10.526,,red,5.0
187.062,11.79,,red,5.0
187.0661,2.7008,,red,5.0
187.0663,1.8288,,red,5.0
187.0665,9.4364,,red,5.0
187.0781,11.7003,,red,5.0
187.0864,8.0118,,red,5.0
187.0984,13.1957,,red,5.0
187.0999,11.4205,,red,5.0
187.1078,11.2402,,red,5.0
187.1138,6.9462,,red,5.0
187.1169,12.8237,,red,5.0
187.127,7.3248,,red,5.0
187.1408,8.64,,red,5.0
187.1688,9.2591,,red,5.0
187.1731,7.8043,,red,5.0
187.1738,12.9158,,red,5.0
187.1777,12.5498,,red,5.0
187.1803,14.9993,,red,5.0
187.1805,11.7551,,red,5.0
187.1838,22.8216,,red,5.0
187.1871,12.8095,,red,5.0
187.193,16.2242,,red,5.0
187.2123,-2.0604,,red,5.0
187.229,9.4211,,red,5.0
187.2422,12.6617,,red,5.0
187.2493,12.6485,,red,5.0
187.2596,2.7231,,red,5.0
187.2769,14.0048,,red,5.0
187.284,9.4439,,red,5.0
187.3086,-1.3561,,red,5.0
187.3761,7.9929,,red,5.0
187.311,7.8775,,red,5.0
187.3119,12.9782,,red,5.0
187.3137,8.8145,,red,5.0
187.3259,10.1359,,red,5.0
187.3382,16.8064,,red,5.0
187.3444,9.988,,red,5.0
187.3479,12.4508,,red,5.0
187.3596,16.405,,red,5.0
187.3651,5.9736,,red,5.0
187.3671,8.7504,,red,5.0
187.3675,20.5636,,red,5.0
187.3958,8.058,,red,5.0
187.3693,12.4962,,red,5.0
187.3699,6.7714,,red,5.0
187.3773,7.6966,,red,5.0
187.3787,14.0491,,red,5.0
187.3834,13.5105,,red,5.0
187.3855,0.8393,,red,5.0
187.3978,10.7936,,red,5.0
187.4045,7.9328,,red,5.0
187.4078,7.8238,,red,5.0
187.4082,7.1066,,red,5.0
187.4104,11.299,,red,5.0
187.4129,3.6131,,red,5.0
187.4135,12.5483,,red,5.0
187.4193,10.3849,,red,5.0
187.4308,17.5155,,red,5.0
187.4337,12.8055,,red,5.0
187.4357,15.0249,,red,5.0
187.4373,17.2874,,red,5.0
187.4384,5.9201,,red,5.0
187.4422,-1.2952,,red,5.0
187.4438,7.9983,,red,5.0
187.4472,6.9653,,red,5.0
187.4536,13.4296,,red,5.0
187.4607,2.0317,,red,5.0
187.4632,13.8675,,red,5.0
187.4709,11.9623,,red,5.0
187.4732,14.0686,,red,5.0
